is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score
0,7500.0,1,0,8,8,239,2,0,0,1,0,0,0.043010752688172046,0,833.3333333333334,0.03333333333333333,0,0,3.344999999999999,0,0,0,0.8888888888888888
0,2500.0,1,0,3,4,262,2,0,0,3,0,0,0.01834862385321101,0,625.0,0.015209125475285171,0,0,6.999464285714311,0,0,0,0.6
0,63500.0,0,0,3,3,175,20,0,0,3,0,0,0.04195804195804196,0,15875.0,0.017045454545454544,0,1,1.2888636363636294,0,0,0,0.75
0,5000.0,1,0,6,5,389,3,0,0,7,0,0,0.037267080745341616,0,714.2857142857143,0.01282051282051282,0,0,28.50000000000003,0,0,0,1.0
0,5000.0,0,0,3,4,1238,2,0,0,4,0,0,0.021538461538461538,0,1250.0,0.003228410008071025,0,1,42.51192852209945,0,0,0,0.6
0,3000.0,1,0,5,8,483,4,0,1,3,0,0,0.03865979381443299,0,500.0,0.01652892561983471,0,0,34.18512126865676,0,0,0,0.5555555555555556
0,4350.0,1,0,5,7,267,2,0,0,1,0,0,0.051643192488262914,0,725.0,0.026119402985074626,0,0,47.86539634146342,0,0,0,0.625
0,13500.0,1,0,2,5,134,2,0,0,2,0,0,0.027777777777777776,0,4500.0,0.037037037037037035,0,0,31.206666666666678,0,0,0,0.3333333333333333
0,19000.0,1,0,3,4,2553,1,0,0,4,0,0,0.03138793526238352,0,4750.0,0.0015661707126076742,0,0,62.248063241106735,0,0,0,0.6
0,6500.0,1,0,2,5,1139,2,0,0,5,0,0,0.02459893048128342,0,2166.6666666666665,0.0043859649122807015,0,0,25.1894901610018,0,1,0,0.3333333333333333
0,5000.0,1,0,6,6,1013,4,0,0,1,0,0,0.018050541516245487,0,714.2857142857143,0.005917159763313609,0,0,23.805000000000007,0,0,5,0.8571428571428571
0,14000.0,1,0,5,5,1962,3,0,0,6,0,0,0.029696578437701744,0,2333.3333333333335,0.0025471217524197657,0,0,43.15746893123449,0,0,0,0.8333333333333334
0,12500.0,1,0,2,1,7,0,0,0,4,0,0,0.14285714285714285,0,4166.666666666667,0.125,0,0,36.62000000000003,0,0,0,1.0
0,18500.0,1,0,1,4,1265,30,1,0,4,0,0,0.04046242774566474,0,9250.0,0.00315955766192733,0,0,24.603482658959592,0,0,0,0.2
0,12500.0,1,0,4,5,310,1,0,0,4,0,0,0.015748031496062992,0,2500.0,0.01607717041800643,0,0,31.47989130434786,0,0,0,0.6666666666666666
0,12000.0,0,0,10,2,863,0,0,0,1,0,0,0.040110650069156296,0,1090.909090909091,0.0023148148148148147,0,1,14.470347107438045,0,0,0,3.3333333333333335
0,15000.0,1,0,6,4,1586,1,0,0,2,0,0,0.014448669201520912,0,2142.8571428571427,0.002520478890989288,0,0,23.92384615384617,0,0,0,1.2
